STK,SWR,TST,SWA,IMP,INF,OPS
STK001,SWR001,TST001,,,,
STK001,SWR001,TST002,,,,
STK001,SWR001,TST005,,,,
STK001,SWR001,TST006,,,,
STK001,SWR001,TST007,,,,
STK001,SWR001,TST008,,,,
STK001,SWR001,,SWA001,IMP001,,
STK001,SWR001,,SWA001,IMP002,,
STK001,SWR001,,SWA001,IMP003,,
STK001,SWR001,,SWA001,IMP004,,
STK001,SWR001,,SWA001,IMP013,,
STK001,SWR001,,SWA001,IMP014,,
STK001,SWR001,,SWA001,IMP015,,
STK001,SWR001,,SWA001,IMP016,,
STK001,SWR001,,SWA001,IMP017,,
STK001,SWR001,,SWA001,IMP018,,
STK001,SWR001,,SWA002,IMP006,,
STK001,SWR001,,SWA002,IMP012,,
STK001,SWR001,,SWA004,IMP001,,
STK001,SWR001,,SWA004,IMP002,,
STK001,SWR001,,SWA004,IMP003,,
STK001,SWR001,,SWA004,IMP004,,
STK001,SWR001,,SWA004,IMP014,,
STK001,SWR001,,SWA004,IMP015,,
STK001,SWR001,,SWA004,IMP017,,
STK001,SWR001,,SWA004,IMP018,,
STK001,SWR001,,SWA004,IMP019,,
STK001,SWR001,,SWA007,IMP001,,
STK001,SWR001,,SWA007,IMP008,,
STK001,SWR001,,SWA007,IMP010,,
STK001,SWR001,,SWA007,IMP011,,
STK001,SWR001,,SWA007,IMP013,,
STK001,SWR001,,SWA013,IMP015,,
STK001,SWR001,,SWA013,IMP018,,
STK001,SWR001,,SWA013,IMP019,,
STK001,SWR001,,SWA015,,,
STK001,SWR002,TST003,,,,
STK001,SWR002,TST004,,,,
STK001,SWR002,,SWA004,IMP001,,
STK001,SWR002,,SWA004,IMP002,,
STK001,SWR002,,SWA004,IMP003,,
STK001,SWR002,,SWA004,IMP004,,
STK001,SWR002,,SWA004,IMP014,,
STK001,SWR002,,SWA004,IMP015,,
STK001,SWR002,,SWA004,IMP017,,
STK001,SWR002,,SWA004,IMP018,,
STK001,SWR002,,SWA004,IMP019,,
STK001,SWR018,,SWA012,,,
STK001,SWR019,,,,,
STK001,SWR020,,SWA013,IMP015,,
STK001,SWR020,,SWA013,IMP018,,
STK001,SWR020,,SWA013,IMP019,,
STK001,SWR021,,SWA013,IMP015,,
STK001,SWR021,,SWA013,IMP018,,
STK001,SWR021,,SWA013,IMP019,,
STK001,SWR025,,,,,
STK001,SWR026,,,,,
STK001,SWR027,,,,,
STK002,SWR003,TST007,,,,
STK002,SWR003,TST008,,,,
STK002,SWR003,,SWA002,IMP006,,
STK002,SWR003,,SWA002,IMP012,,
STK002,SWR003,,SWA007,IMP001,,
STK002,SWR003,,SWA007,IMP008,,
STK002,SWR003,,SWA007,IMP010,,
STK002,SWR003,,SWA007,IMP011,,
STK002,SWR003,,SWA007,IMP013,,
STK002,SWR003,,SWA011,,,
STK002,SWR003,,SWA015,,,
STK002,SWR017,,SWA011,,,
STK002,SWR050,,,,,
STK002,SWR053,,,,,
STK002,SWR074,,SWA034,,,
STK003,SWR004,,SWA006,,,
STK003,SWR004,,SWA008,IMP009,,
STK003,SWR004,,SWA008,IMP016,,
STK003,SWR005,,SWA008,IMP009,,
STK003,SWR005,,SWA008,IMP016,,
STK004,SWR006,,SWA004,IMP001,,
STK004,SWR006,,SWA004,IMP002,,
STK004,SWR006,,SWA004,IMP003,,
STK004,SWR006,,SWA004,IMP004,,
STK004,SWR006,,SWA004,IMP014,,
STK004,SWR006,,SWA004,IMP015,,
STK004,SWR006,,SWA004,IMP017,,
STK004,SWR006,,SWA004,IMP018,,
STK004,SWR006,,SWA004,IMP019,,
STK004,SWR056,,SWA031,,,
STK005,SWR007,,SWA010,,,
STK005,SWR007,,SWA029,,,
STK005,SWR016,,SWA010,,,
STK005,SWR028,,,,,
STK005,SWR043,,SWA029,,,
STK005,SWR051,,,,,
STK005,SWR053,,,,,
STK006,SWR008,,SWA005,IMP005,,
STK007,SWR010,,SWA017,,,
STK007,SWR010,,SWA018,,,
STK007,SWR010,,SWA030,,,
STK007,,,,,INF001,OPS002
STK007,,,,,INF002,OPS001
STK007,,,,,INF003,
STK007,,,,,INF005,
STK007,,,,,INF006,
STK007,,,,,INF007,
STK007,,,,,INF008,
STK007,,,,,INF009,OPS002
STK007,,,,,INF010,OPS003
STK007,,,,,INF013,
STK008,SWR011,,,,,
STK009,SWR009,TST002,,,,
STK009,SWR009,,SWA001,IMP001,,
STK009,SWR009,,SWA001,IMP002,,
STK009,SWR009,,SWA001,IMP003,,
STK009,SWR009,,SWA001,IMP004,,
STK009,SWR009,,SWA001,IMP013,,
STK009,SWR009,,SWA001,IMP014,,
STK009,SWR009,,SWA001,IMP015,,
STK009,SWR009,,SWA001,IMP016,,
STK009,SWR009,,SWA001,IMP017,,
STK009,SWR009,,SWA001,IMP018,,
STK009,SWR009,,SWA003,IMP005,,
STK009,SWR009,,SWA005,IMP005,,
STK009,SWR009,,SWA009,,,
STK009,SWR009,,SWA014,,,
STK009,SWR024,TST009,,,,
STK009,SWR024,,SWA016,IMP020,,
STK010,SWR012,,SWA007,IMP001,,
STK010,SWR012,,SWA007,IMP008,,
STK010,SWR012,,SWA007,IMP010,,
STK010,SWR012,,SWA007,IMP011,,
